# DCS_Hosts.txt downloaded from http://www.pistar.uk/downloads/DCS_Hosts.txt
# DCS Hosts resolved from xreflector.net DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File created at Thursday 6th of February 2020 11:12:30 AM UTC
DCS000	45.56.118.86
DCS001	5.252.227.231
DCS002	185.228.139.209
DCS003	176.10.105.254
DCS004	77.243.52.148
DCS005	87.117.229.174	L
DCS006	173.44.86.15	L
DCS007	80.69.86.234
DCS008	87.106.84.53
DCS009	89.185.97.35
DCS010	85.197.129.86	L
DCS011	81.95.126.168
DCS012	194.38.140.205	L
DCS013	195.159.104.200
DCS014	52.63.223.130
DCS015	194.59.205.228
DCS016	87.106.3.249
DCS017	201.62.48.60
DCS018	80.211.236.189
DCS019	31.7.247.58
DCS020	75.76.90.90
DCS021	183.177.205.142
DCS022	157.7.142.179
DCS023	77.85.192.94
DCS024	75.151.47.163
DCS025	87.229.30.227
DCS026	69.161.124.157
DCS027	128.199.57.19
DCS028	35.177.206.155
DCS030	194.59.177.44
DCS032	158.64.26.140
DCS033	54.38.188.74
DCS034	dcs034.xreflector.net
DCS035	45.79.94.184
DCS039	31.14.142.119
DCS040	109.71.45.29
DCS042	206.72.110.10
DCS043	206.189.239.225
DCS044	77.243.52.148
DCS045	70.44.20.24
DCS046	98.128.173.195
DCS047	202.171.147.58
DCS049	212.71.234.224
DCS050	45.32.129.65
DCS051	93.186.254.219
DCS052	121.119.102.192
DCS053	10.49.243.18
DCS054	208.104.55.181
DCS056	155.138.237.66
DCS058	150.66.16.176
DCS059	18.219.32.21
DCS060	212.237.36.181
DCS064	122.222.1.50
DCS065	110.169.202.58
DCS066	188.217.214.113
DCS067	47.62.127.43
DCS068	92.222.145.202
DCS069	51.77.213.200
DCS071	211.60.41.185
DCS072	75.60.237.17
DCS073	34.87.53.5
DCS074	212.237.211.82
DCS076	203.137.116.117
DCS077	216.21.9.156
DCS079	220.72.243.32
DCS080	121.85.181.113
DCS081	121.84.20.30
DCS082	110.232.113.108
DCS083	185.141.61.143
DCS084	45.79.93.167
DCS085	113.150.26.8
DCS086	52.80.139.252
DCS087	44.137.36.209
DCS088	194.109.192.235
DCS089	194.109.192.236
DCS090	91.92.136.252
DCS091	34.226.10.130
DCS092	104.200.25.53
DCS093	185.177.59.221
DCS095	203.137.76.53
DCS096	179.52.52.213
DCS097	80.211.154.173
DCS098	122.130.93.184
DCS099	80.211.27.75
DCS100	45.62.234.223
DCS101	45.62.232.53
DCS102	45.79.220.142
DCS103	45.62.242.91
DCS104	50.116.38.232
DCS105	51.254.99.78
DCS107	217.182.156.151
DCS108	126.116.53.79
DCS109	118.27.10.67
DCS110	150.7.164.10
DCS111	61.195.96.160
DCS112	94.177.235.81
DCS114	5.135.188.16
DCS115	217.182.128.3
DCS116	80.211.90.242
DCS117	201.217.131.107
DCS118	5.249.148.252
DCS120	81.150.10.63
DCS121	3.214.173.78
DCS123	190.104.235.126
DCS124	211.14.169.234
DCS125	213.181.208.52
DCS129	124.26.184.197
DCS130	194.59.177.45
DCS131	80.127.118.226
DCS132	91.203.55.87
DCS139	68.169.168.12
DCS140	95.211.211.145
DCS141	3.19.122.217
DCS145	70.15.39.11
DCS146	213.7.197.202
DCS147	46.41.1.127
DCS151	94.254.105.236
DCS160	61.195.109.179
DCS170	210.178.113.173
DCS171	121.162.91.75
DCS172	190.213.157.249
DCS173	68.10.121.14
DCS175	162.248.92.25
DCS176	95.249.174.135
DCS180	192.241.240.7
DCS185	89.106.108.151
DCS190	190.194.12.53
DCS192	140.227.203.154
DCS194	80.211.129.64
DCS196	64.179.223.222
DCS199	153.126.179.214
DCS201	157.245.45.67
DCS204	85.214.126.111
DCS205	12.202.202.19
DCS206	193.190.240.227
DCS208	151.80.155.39
DCS210	104.167.102.44
DCS212	52.38.90.188
DCS213	181.188.59.233
DCS214	185.47.129.230
DCS215	80.211.155.206
DCS216	74.214.25.135
DCS220	124.41.83.11
DCS222	185.227.110.247
DCS224	203.137.99.97
DCS225	61.195.108.252
DCS226	2.226.183.226
DCS227	89.33.44.100
DCS228	85.2.74.150
DCS229	194.191.4.54
DCS230	80.250.3.114
DCS232	89.185.97.35
DCS234	160.16.58.180
DCS241	151.80.158.227
DCS242	153.151.194.98
DCS245	54.85.206.3
DCS246	172.93.48.159
DCS250	44.159.15.2
DCS255	142.91.158.199
DCS256	162.238.214.18
DCS258	75.60.237.19
DCS260	80.211.208.227
DCS261	77.55.212.58
DCS262	92.192.15.113
DCS263	85.214.193.146
DCS264	52.2.131.118
DCS266	212.237.51.82
DCS267	185.244.130.88
DCS268	194.38.140.204
DCS270	158.64.26.132
DCS271	75.164.152.50
DCS272	69.164.222.129
DCS275	128.22.129.98
DCS277	63.78.117.77
DCS280	95.247.19.44
DCS282	136.57.185.215
DCS284	95.158.165.32
DCS287	66.42.109.165
DCS290	44.182.7.20
DCS291	101.143.242.189
DCS295	38.240.4.173
DCS298	61.193.81.1
DCS299	203.86.194.92
DCS302	144.217.241.23
DCS303	75.70.52.143
DCS305	178.250.54.203
DCS307	72.21.76.154
DCS311	91.204.44.37
DCS312	192.241.160.183
DCS313	34.213.108.164
DCS314	181.46.234.7
DCS315	65.101.7.50
DCS317	44.48.8.15
DCS319	140.186.202.60
DCS320	91.204.44.27
DCS321	31.207.110.45
DCS322	76.219.234.40
DCS325	168.235.80.185
DCS326	61.195.125.193
DCS328	212.237.33.114
DCS329	114.181.67.151
DCS330	44.70.49.128
DCS332	188.213.168.99
DCS333	194.116.29.73
DCS334	96.47.95.121
DCS336	23.226.233.133
DCS338	122.116.216.47
DCS339	81.14.225.84
DCS345	45.62.237.34
DCS350	111.64.9.35
DCS353	44.155.254.12
DCS355	210.153.207.73
DCS356	217.174.61.117
DCS358	93.152.167.4
DCS359	94.156.172.213
DCS360	150.66.52.109
DCS364	159.65.231.53
DCS365	59.139.141.204
DCS367	18.216.66.72
DCS369	3.82.236.213
DCS370	188.213.168.24
DCS371	212.237.8.77
DCS373	218.251.38.117
DCS374	61.195.108.146
DCS376	75.145.119.225
DCS377	186.159.96.100
DCS379	104.218.36.162
DCS381	155.138.219.193
DCS382	211.131.16.146
DCS385	141.138.10.86
DCS386	52.176.105.136
DCS388	3.231.112.133
DCS389	122.109.173.114
DCS390	185.82.114.247
DCS391	185.82.114.246
DCS393	139.91.92.211
DCS398	38.240.5.137
DCS400	13.58.192.185
DCS402	71.8.194.163
DCS403	167.114.179.60
DCS404	91.229.143.187
DCS409	166.78.135.93
DCS410	166.78.145.146
DCS411	82.171.119.45
DCS412	61.195.107.113
DCS416	50.101.83.173
DCS420	81.133.110.96
DCS421	118.189.181.236
DCS423	75.149.111.188
DCS425	77.203.220.188
DCS427	5.196.88.239
DCS431	61.195.98.225
DCS433	217.160.22.17
DCS434	51.254.128.134
DCS435	128.22.130.154
DCS438	98.101.226.22
DCS440	180.51.18.252
DCS441	203.137.99.110
DCS444	46.38.241.228
DCS445	18.221.229.191
DCS446	75.187.166.206
DCS449	159.89.183.117
DCS450	104.167.106.81
DCS453	61.239.171.240
DCS454	218.103.102.5
DCS455	208.71.169.83
DCS456	54.37.204.187
DCS464	52.192.129.174
DCS466	155.138.228.137
DCS468	3.86.166.63
DCS470	104.49.29.243
DCS475	118.27.35.184
DCS477	81.105.24.211
DCS479	198.58.106.10
DCS483	107.182.35.233
DCS486	51.255.172.249
DCS487	37.182.113.187
DCS499	203.137.76.22
DCS500	58.96.21.253
DCS501	198.211.98.63
DCS502	190.148.222.28
DCS505	110.141.219.161
DCS508	185.188.4.15
DCS511	188.230.203.194
DCS514	203.137.118.143
DCS515	203.137.78.35
DCS518	176.9.1.168
DCS519	69.195.150.82
DCS520	44.159.15.1
DCS521	150.129.184.54
DCS522	14.102.146.160
DCS523	42.191.241.212
DCS525	80.211.68.38
DCS526	47.145.228.112
DCS527	212.237.10.98
DCS530	124.197.62.162
DCS531	149.28.170.145
DCS538	131.129.243.235
DCS540	61.210.76.251
DCS544	202.218.152.66
DCS545	3.215.215.169
DCS547	45.77.186.5
DCS550	89.36.222.146
DCS551	140.227.198.45
DCS553	45.79.92.86
DCS555	77.3.56.8
DCS556	68.183.195.21
DCS557	196.42.24.195
DCS560	150.66.42.72
DCS567	157.245.59.253
DCS569	203.137.111.98
DCS575	44.103.27.35
DCS583	183.76.230.209
DCS587	68.32.126.21
DCS595	58.1.68.116
DCS599	150.66.25.83
DCS600	13.69.14.204
DCS601	51.141.52.193
DCS602	212.56.100.200
DCS603	65.175.143.215
