# DExtra_Hosts.txt downloaded from http://www.pistar.uk/downloads/DExtra_Hosts.txt
# DExtra Hosts resolved from the XReflector Directory (http://xrefl.net),
# additional host information sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File created at Thursday 6th of February 2020 11:12:26 AM UTC
XRF000	45.56.118.86
XRF001	185.203.118.135
XRF002	52.36.45.107
XRF003	173.199.124.183
XRF004	44.103.34.3
XRF005	50.116.62.225
XRF006	45.76.1.189
XRF007	82.223.18.138
XRF008	45.77.153.132
XRF009	118.150.200.85
XRF010	85.197.129.86
XRF011	81.95.126.168
XRF012	67.207.216.61
XRF013	66.70.189.70
XRF014	94.177.175.230
XRF015	194.59.205.228
XRF016	44.143.40.30
XRF017	85.214.78.198
XRF018	199.167.129.166
XRF019	31.7.247.58
XRF020	104.200.29.105
XRF021	44.103.34.21
XRF022	83.137.45.98
XRF023	77.85.192.94
XRF024	80.211.62.178
XRF025	89.38.150.252
XRF026	69.161.124.157
XRF027	194.116.29.78
XRF028	35.177.206.155
XRF029	188.22.212.12
XRF030	194.59.177.44
XRF031	98.142.187.74
XRF032	158.64.26.140
XRF033	46.226.178.81
XRF035	45.79.94.184
XRF037	185.58.193.163
XRF038	44.103.34.19
XRF039	31.14.142.119
XRF040	109.71.45.29
XRF042	44.168.53.137
XRF043	206.189.239.225
XRF044	82.1.185.173
XRF045	70.44.20.24
XRF046	98.128.173.195
XRF047	202.171.147.58
XRF048	98.173.236.57
XRF049	212.71.234.224
XRF050	45.32.129.65
XRF051	93.186.254.219
XRF052	121.119.102.192
XRF053	5.133.99.12
XRF054	208.104.55.181
XRF056	155.138.237.66
XRF058	150.66.16.176
XRF059	18.219.32.21
XRF060	212.237.36.181
XRF064	122.222.1.50
XRF065	212.237.53.67
XRF066	188.217.214.113
XRF067	47.62.127.43
XRF068	92.222.145.202
XRF069	51.77.213.200
XRF070	112.218.40.93
XRF071	211.60.41.185
XRF072	75.60.237.17
XRF073	34.87.53.5
XRF074	212.237.211.82
XRF076	203.137.116.117
XRF077	216.21.9.156
XRF079	220.72.243.32
XRF080	121.85.181.113
XRF081	121.84.20.30
XRF082	110.232.113.108
XRF083	185.141.61.143
XRF084	45.79.93.167
XRF085	113.150.26.8
XRF086	52.80.139.252
XRF087	44.137.36.209
XRF088	194.109.192.235
XRF089	194.109.192.236
XRF090	91.92.136.252
XRF091	34.226.10.130
XRF092	104.200.25.53
XRF093	185.177.59.221
XRF095	203.137.76.53
XRF096	179.52.52.213
XRF097	80.211.154.173
XRF098	122.130.93.184
XRF099	80.211.27.75
XRF100	45.62.234.223
XRF101	45.62.232.53
XRF102	45.79.220.142
XRF103	45.62.242.91
XRF104	50.116.38.232
XRF105	51.254.99.78
XRF107	217.182.156.151
XRF108	126.116.53.79
XRF109	118.27.10.67
XRF110	150.7.164.10
XRF111	61.195.96.160
XRF112	207.180.195.121
XRF113	212.227.202.198
XRF114	5.135.188.16
